title,article_text,article_date,source
SAPUL SA CCTV: Kabayo sugatan matapos banggain ang kalesa sa Ilocos Norte,"Sugatan ang isang kabayo matapos mabangga ng bus ang kalesa nito nitong Sabado ng umaga, sa Laoag City, Ilocos Norte. ,Batay sa CCTV, nahagip ng bus ang kalesa habang papunta sa parehong direksyon. Natumba ang kabayo at tumama pa sa nakaparadang tricycle. ,Ayon sa nagbahagi ng video na si VA Jan Carlo, tumigil ang bus at kinausap ng konduktor ang mga nasangkot sa insidente.,Sugatan umano ang kabayo, at hindi naman nasaktan ang kutsero.,Ayon sa Laoag City Traffic Division, hindi na naiparating sa kanila ang insidente at maaaring nagkaaregluhan na ang mga ito.,Pero pinatawan umano ng kompanya ng bus ang driver ng preventive suspension.",Sep 04 2022 03:16 PM,https://news.abs-cbn.com/news/09/04/22/kabayo-sugatan-matapos-banggain-ng-bus-sa-ilocos-norte
4 timbog sa tangkang pagpuslit ng higit 100 wildlife species,"Arestado ang apat na lalaki dahil sa tangkang pagpuslit ng mahigit 100 na wildlife species sa karagatan ng Glan, Sarangani Province noong Martes.,Ayon kay Community Environment and Natural Resources Office (CENRO) Officer Dr. Rosalinda Cortez, nagsasagawa ng sea patrol ang Coast Guard nang maispatan ang mga suspek na nagmula sa Balut Island sa bayan ng Sarangani, Davao Occidental na nagbabiyahe ng mga kahina-hinalang kahon.,Nang buksan ng mga awtoridad ang mga kahon, natuklasan ang iba't ibang reptile species. Wala itong kaukulang permit to possess at permit to transport, ayon sa CENRO.,“Based on the inventory, a total of 108 International Union for Conservation of Nature (IUCN) listed wild reptiles which are endemic in the islands of archipelagic region of Indonesia were intercepted from the suspects,” ani Cortez.,Nakumpiska rin ang 3 Asian Forest Tortoise, isang Banggai Monitor Lizard, at isang green Iguana na natuklasang patay na dahil umano sa stress at mishandling.,Idineklara ng Glan municipal veterinarian ang mga wildlife species na walang dalang sakit at nasa kustodiya na ngayon ng isang ecopark para sumailalim sa recovery bago ito ililipat sa Regional Wildlife Rescue Center sa Lutayan, Sultan Kudarat.,Ayon kay Cortez, nasampahan na nila ng kasong paglabag sa Republic Act 9147 o Wildlife Resources Conservation and Protection Act of 2001 ang apat na suspek.",Sep 03 2022 04:46 PM,https://news.abs-cbn.com/news/09/03/22/4-timbog-sa-tangkang-pagpuslit-ng-higit-100-wildlife-species
"Ika-6 na taon ng Davao City night-market bombing, inalala","
Inalala ng mga nakaligtas, pamilya ng mga nasawi, at ng iba-ibang sangay ng lokal na pamahalaan ang ika-6 na taon ng Roxas night market bombing sa Davao City Biyernes ng hapon.,Matatandaang nasawi ang di bababa sa 14 katao at 60 ang sugatan sa pagsabog ng bomba sa kilalang night market ng lungsod noong Setyembre 2, 2016.,Pinangunahan ni Davao City Mayor Sebastian ""Baste"" Duterte ang komemorasyon sa memorial marker sa Roxas Ave.,Isang misa ang inalay para sa mga biktima ng trahedya.,Ayon sa lokal na pamahalaan, patuloy ang kanilang assistance sa mga biktima ng pambobomba.,Taong 2020 nang naiulat na hinatulang guilty sa kasong multiple murder ang mga suspek ng night market bombing.,Marso nitong taon naman ay nagbukas muli ang night market matapos ang pandemya, kung saan hinigpitan hindi lang ang health protocols kundi pati na ang security measures para hindi na maulit ang trahedya. – Ulat ni Hernel Tocmo",Sep 03 2022 03:34 PM,https://news.abs-cbn.com/news/09/03/22/ika-6-na-taon-ng-davao-city-night-market-bombing-inalala
DOH: Peligroso ang pag-alis ng mask mandate ng LGUs,,Sep 03 2022 07:00 PM,https://news.abs-cbn.com/video/news/09/03/22/doh-peligroso-ang-pag-alis-ng-mask-mandate-ng-lgus
Ilang parte ng Metro Manila binaha dahil sa habagat,,Sep 03 2022 07:03 PM,https://news.abs-cbn.com/video/news/09/03/22/ilang-parte-ng-metro-manila-binaha
2 milyon pa lang ang nabibigyan ng COVID booster sa 'PinasLakas campaign' – datos,"
MAYNILA – Higit 2 milyong katao pa lang ang nababakunahan ng booster shot sa ilalim ng ""PinasLakas campaign"" ng Department of Health.,Sa 23 milyong target mabakunahan sa unang 100 araw ni Pangulong Ferdinand Marcos Jr. sa Oktubre, nasa 2.1 milyon pa lang ang nakakakuha ng booster shot.,Nasa 25,638 pa lang ang mga senior citizen na nabakunahan o maliit na porsyento ng 1.07 milyon na target.,Iyan ay kahit puspusan ang hakbang ng DOH para ilapit sa publiko ang bakuna.,Halimbawa, sa Makati, sinimulan na sa ilang paaralan ang pagbabakuna kontra COVID-19 bilang pakikiisa sa kampanya ng DOH.,Puwedeng sa Don Bosco Technical Institute of Makati na mismo magpabakuna ang mga estudyante, faculty admin staff, pati kanilang mga kaanak.,Nakatakda ring ilunsad ang kaparehong programa sa Centro Escolar University sa susunod na linggo.,Nasa 19,279 na ang mga vaccination site sa buong bansa.,“This is a result of the waning immunity of the population. Mas malala ang makukuha niyong sakit kung hindi po kayo bakunado dahil ito pong ating mga fully vaccinated, although they are admitted and they have severe infections, they are thriving more than those unvaccinatedm"" ani DOH officer-in-charge Maria Rosario Vergeire.",Sep 03 2022 12:44 PM,https://news.abs-cbn.com/news/09/03/22/2-milyon-pa-lang-ang-nabibigyan-ng-covid-booster-sa-pinaslakas-campaign-datos
Presyo ng manok bumaba sa ilang pamilihan,"MAYNILA - Bumaba nang P10 hanggang P20 ang kada kilo ng manok sa ilang palengke sa Metro Manila. ,Ito ay base sa price bulletin ng Department of Agriculture nitong Biyernes. ,Sa Litex Market, nasa P160 hanggang P170 ang kada kilo ng manok. ,Samantala, nasa P150 hanggang P160 na ang presyo ng kada kilo ng manok sa Commonwealth Market.,Stable naman ang presyo ng gulay batay sa bulletin ng DA. ,Nananatili naman sa P38 hanggang P52 ang kada kilo ng bigas depende sa klase. ",Sep 03 2022 06:08 PM,https://news.abs-cbn.com/business/09/03/22/presyo-ng-manok-bumaba-sa-ilang-pamilihan
"DOH: Sitwasyon sa COVID-19, gumaganda na",,Sep 03 2022 07:57 PM,https://news.abs-cbn.com/video/news/09/03/22/doh-sitwasyon-sa-covid-19-gumaganda-na
EJ Obiena wagi ng gintong medal sa Brussels Diamond League,,Sep 03 2022 08:08 PM,https://news.abs-cbn.com/video/sports/09/03/22/ej-obiena-wagi-ng-ginto-sa-brussels-diamond-league
Dapitan Market dinagsa sa pagsisimula ng 'ber' months,,Sep 03 2022 08:12 PM,https://news.abs-cbn.com/video/business/09/03/22/dapitan-market-dinagsa-sa-pagsisimula-ng-ber-months
"Kpop girl group na Lapillus, excited na makita ang Pinoy fans",,Sep 03 2022 08:14 PM,https://news.abs-cbn.com/video/entertainment/09/03/22/lapillus-excited-na-makita-ang-pinoy-fans
Presyo ng petrolyo inaasahang bababa sa susunod na linggo,"MAYNILA - Inaasahang bababa ang presyo ng petrolyo sa world market, ayon sa mga taga-industriya, matapos ang dalawang sunod sunod na bigtime oil price hike. ,Ito ay matapos kumambiyo at bumagsak ang presyo ng imported na petrolyo sa World Market.,Sa unang 4 na araw ng trading, nasa halos P3 ang bagsak sa gasolina, at lagpas P1 sa diesel at kerosene. ,""We'll be expecting more than P2 dun sa gasolina... 'Yung diesel posibleng more than P1 probably P1.50 kung magtutuloy ngayong Friday but to be safe ang diesel more than P1, kerosene more than P1,"" ani Rino Abad, director ng Oil Industry Management Bureau sa ilalim ng Department of Energy. ,Pero ngayon, hindi masabi kung magtutuloy-tuloy pa ang rollback, ayon sa mga eksperto. ,""Dahil sa ginawang combined Central Bank ng Europe at US halos sabay na interest hike na implementation nakaexperience tayo ng whole month na rollback so depende ngayon possible tuloy for the next how many weeks,"" ani Abad. ,""Yan ang mahirap sagutin pero mukhang magsiseesaw depende sa epekto ng sa desisyon ng OPEC isa po yan at nakikita natin nandun talaga ang recession fears,"" ani Leo Bellas, presidente ng Jetti Petroleum. ,Naka-2 linggo nang puro bigtime ang oil price hike na umabot agad sa mahigit P8 ang kabuuan sa diesel at kerosene. ",Sep 02 2022 05:37 PM,https://news.abs-cbn.com/business/09/02/22/petrolyo-may-rollback-susunod-na-linggo
"State of calamity idineklara sa Iloilo City dahil sa cholera, gastroenteritis","MANILA -- Pormal nang idineklara ng Iloilo City Council ang state of calamity sa buong lungsod ng Iloilo ngayong Biyernes, Setyembre 2, dahil sa naitalang maraming kaso ng acute gastroenteritis at cholera.,Unanimously approved ng boung miyembro ng Sangguniang Panglungsod ang pagdeklara ng state of calamity matapos maitala ang pitong namatay dahil sa acute gastroenteritis habang may kabuuang 228 na kaso nito sa lungsod.,Walo naman ang naitalang kaso ng cholera.,Walong water refilling station ang ipinasara ng Business Permit and Licensing Office (BPLO), City Health Office at Iloilo City Police Office dahil sa kakulangan ng business permit at mga nakitang paglabag sa batas.,Nitong Huwebes, sa isinagawang water sampling ng City Health Office sa mga water source sa lungsod, anim na barangay ang lumabas na positibo sa E. coli ang pinagmumulan ng tubig.,Ito ang mga barangay ng Rizal Pala-Pala ll, Maria Clara, Esperanza, Rizal Ibarra, Tanza Timaw ll, at Taal.,Sa anim na barangay na nagpositibo sa E. coli ang kanilang pinagkukunan ng tubig ay 22 dito ang nanggaling sa mga balon at bomba ng tubig, habang 17 naman ang nanggaling sa mga refilling station, water vending machines at bathhouse sa lungsod.,Nanawagan naman si Iloilo City Mayor Jerry Treñas sa mga residente sa lungsod na mag-ingat sa mga iniinum na tubig at mga kinakain na pagkain para maiwasan ang gastroenteritis at cholera. - ",Sep 02 2022 06:06 PM,https://news.abs-cbn.com/news/09/02/22/state-of-calamity-idineklara-sa-iloilo-city-dahil-sa-cholera-gastroenteritis
"Mabagal, offline na transaksiyon sa LTO inireklamo",,Sep 02 2022 07:55 PM,https://news.abs-cbn.com/video/news/09/02/22/mabagal-offline-na-transaksiyon-sa-lto-inireklamo
Huling kaso ng monkeypox ng bansa wala nang dagdag na pantal,,Sep 02 2022 07:52 PM,https://news.abs-cbn.com/video/news/09/02/22/huling-kaso-ng-monkeypox-ng-bansa-wala-nang-dagdag-na-pantal
