title,article_text,summary,article_date,source
"Dalawang beses na na-engage, 'Mr. Right' din pala ang hanap ng una sanang pakakasalan","Eat Bulaga    Nagulat ang mga  Eat Bulaga  Dabarkads sa kwento ng isa nilang panauhin sa Bawal Judgmental. Nalaman ng na dalawang beses na na-engage ang kanilang guest na si Glen subalit wala sa mga ito ang nakatuluyan niya. Read also Mayor sa Mexico, pinakasalan ang buwaya bilang tradisyon Kwento ni Glen, ang una niyang fiancé ang nagdala pa umano ng kanyang wedding gown noon. Subalit nalaman niyang ito pala ang nais na magsuot ng kanyang gown at 'Mr. Right' din pala ang hanap nito. ""I was engaged abroad po, tas umuwi siya muna dala yung sa damit, bridal gown. Basta po hindi na natuloy pagdating niya abroad,""  pahayag ni Glen. Naikomento naman ni Maja na nakita raw kasi ng sana'y groom ni Glen ang gown nito at laking gulat nila nang sabihin naman ng kanilang guest na mas gusto raw talaga isuot ng kanya noong groom ang kanyang gown. Samantala, ang ikalawa niyang engagement at inilarawan niya ang ""masakit."" ""Napakasimple, nakalimutang magsabi ng I love you. Tapos nagsawa na sa kakaaway. It was a toxic relationship actually po,""  paglalarawan ni Glen. Gayunpaman, hindi naman nawawalan ng pag-asa si Glen na balang araw ay makikilala na niya ang taong nakalaan para sa kanya. Read also Gerald Anderson, hindi nakaligtas sa prank ni Ivana Alawi Narito ang kabuuan ng kanyang kwento mula sa Bawal Judgmental ng Eat Bulaga: Ang Bawal Judgmental ay bahagi ng longest running noontime show sa bansa, ang  Eat Bulaga.  1979 pa nang una itong maisa-ere sa RPN 9 kung saan orihinal na host nito ang TVJ o ang ""Tito, Vic and Joey."" Mula taong 1995, GMA na ang naging tahanan ng  Eat Bulaga  hanggang sa kasalukuyan. Isa sa pinakaaabangang portion ng noontime show ay ang  'Bawal Judgmental'  kung saan iba't ibang kwento ng kanilang mga panauhin ang naibabahagi at  nagiging inspirasyon sa marami .","Nagulat ang mga . Bukod umano sa madalas na pagtatalo, nalaman niyang ang unang lalaki sanang pakakasalan ay 'Mr. Right' din ang hanap. Subalit sumubok pa muli siyang pagbigyan ang puso sa ikalawang pagkakataon kung saan muli siyang nasawi. Matatandaang isang Bawal Judgmental guest din ang nakapagkwento na matapos niyang ikasal sa loob lang ng dalawang buwan, iniwan na agad siya ng mister","Saturday, July 02, 2022 at 3:22 PM",https://kami.com.ph/tagalog/144301-babaeng-dalawang-beses-na-engage-nadala-nang-isa-ring-mr-right-ang-hanap-ng-una-sana-niyang-pakakasalan/
"OFW, sinuwerte sa amo na isa palang prinsesa sa Saudi Arabia","Masasabing masuwerte ang 46-anyos na OFW sa Saudi Arabia na si Elizabeth Hernandez. Nalaman ng  , ang amo pala ni Elizabeth ay isang prinsesa ng Saudi. Sa loob ng 20 taon na paninilbihan sa prinsesa, pamilya na ang turing niya rito. Para na rin daw niyang ina ang inaalagaan niyang ito. Ang masaya pa sa kanyang trabaho, may pocket money pa siya sa tuwing magta-travel sila ng prinsesa. Read also Tinaguriang ""Half-man skateboarder"", nanatiling positibo sa kabila ng kapansanan Kaya naman marami-rami na rin siyang mga lugar na napuntahan tulad ng London, Dubai, Jedah, New York, Paris at Austria. Kaya naman ganoon na lang ang pasasalamat niya sa kanyang amo na nakatulong din umano sa kanya sa pagapaptayo ng kanyang bahay sa Laguna. Pinasalamatan din si Elizabeth ng kanyang anak na kahit hindi niya nakakasama ng madalas, maayos naman itong napalaki ng ama. Narito ang kabuuan ng kwento ni Elizabeth mula sa 'Dapat Alam Mo' ng GMA News: Tulad ni Elizabeth, marami pa rin naman sa ating mga kababayang nangingibang bansa ang pinalad sa pagkakaroon ng mabait na amo. Ang iba naman nating kababayan ay masuwerteng nahanap ang  maganda nilang kapalaran  sa ibang bansa. Dahil dito, maayos silang namumuhay maging ang kanilang mga naiwang mahal sa buhay na nasa Pilipinas. Read also Zeinab Harake, umalma sa request ng netizen na ""Daddy for a Day Challenge"" Tulad ng kababayan nating si Shirley Alah o mas kilala bilang si ''Zia Welder"" na isang welder sa Canada. Marami ang namangha sa diskarte niya sa buhay kahit nasa ibang bansa. Gayundin ang OFW na si Diana Hirano na pinalad na makauwi sa bansa para  isupresa ang kanilang pamilya  lalo na ang kanyang ina. Dala kasi ng pandemya ay hindi agad siya basta nakauwi. Taong 2020 pa nang huling makabisita si Diana sa bansa. Dalawang buwan naman niyang makakasama ang pamilya bago siya bumalik muli sa Tokyo.","Sinuwerte ang isang Pinay sa kanyang amo na isa pa lang prinsesa sa Saudi Arabia. 20 taon na siyang naninilbihan doon at halos hindi siya umano makapaniwala sa mga biyayang kanyang tinatamasa. Isinasama rin kasi siya ng kanyang amo sa pagbisita nito sa iba't ibang bansa at may pocket money pa. Sa tagal na niya roon, pamilya na ang turing niya sa kanyang amo","Wednesday, July 06, 2022 at 11:47 PM",https://kami.com.ph/tagalog/144437-ofw-sinuwerte-sa-amo-na-isang-prinsesa-sa-saudi-arabia/
"Tinaguriang ""Half-man skateboarder"", nanatiling positibo sa kabila ng kapansanan","Nagpaunlak ng panayam ang tinaguriang ""Half-man skateboarder"" na si Kevin Almazan kay Ogie Diaz. Nalaman ng   na inspirasyon ang hatid ni Kevin na sa kabila ng kawalan ng mga binti hanggang paa ay nagawa pa rin umano nitong mag-skateboard. Kwento ni Kevin, since birth ang kanyang kalagayan. Subalit ang kanyang mga magulang, sinikap na bigyan siya ng normal na pamumuhay tulad ng pagpapapasok pa rin sa kanya sa paaralan. Hanggang sa nakilala na nga ni Kevin ang skateboarding. Hiniling niya sa kanyang ina ang magkaroon ng sarili niyang skateboard, at hindi naman siya binigo nito lalo na at malapit daw noon ang kanyang kaarawan. Read also Korina Sanchez, pinakita ang nakakaaliw na pag-uusap ng mga anak Nagkaroon na rin siya ng manager na siyang tumutulong sa kanya na makasali sa iba't ibang events na nagbibigay din sa kanya ng pagkakakitaan. Malaking bagay umano ito sa kanya lalo na at dahil sa pag-sktaeboard, nakakatulong na rin siya sa kanyang pamilya. Ngayon, pangarap niyang makasali sa paralympics ng mga persons with disability at makarating sa ibang bansa dahil dito. Pinakakaabangan ng marami ang mga video ni Ogie Diaz sa kanyang YouTube channels na ""Ogie Diaz"" at  ""Ogie Diaz Showbiz Updates""  dahil sa mga maiinit na showbiz balita at interview sa mga artista at iba pang kilalang personalidad na nagbibigay inspirasyon sa marami. Read also Bagong kasal, naging instant millionaire dahil sa kanilang money dance Kamakailan, naitampok din ni Ogie Diaz ang kwento ni  Euleen Castro , ang kilala sa TikTok dahil sa kanyang pagiging isa umanong food critic. Inamin ni Euleen na hinarap niya ang matitinding pambu-bully mula pagkabata. Ngunit ngayon, masaya at confident siya sa kanyang sarili at natutunan na niyang dedmahin na lamang ang mga namumuna sa kanya.","Nakapanayam ni Ogie Diaz ang tinaguriang ""Half-man skateboarder"" na si Kevin Almazan. Naibahagi niya ang mga pinagdaanan sa buhay hanggang sa matuklasan niya ang pag-skateboard. Nakatutuwang maraming tao ang tumulong sa kanya para lang maabot ang pangarap na matutong mag-skateboard. Ngayon, pangarap niyang makasali sa paralympics ng mga PWD na tulad niya","Sunday, July 03, 2022 at 11:27 PM",https://kami.com.ph/tagalog/144376-tinaguriang-half-man-skateboarder-nanatiling-positibo-sa-kabila-ng-kapansanan/
"Wedding video ng emosyonal na bride at groom na 'di patinag sa ulan, viral","Agaw eksena sa social media ang TikTok video ng Hip Events Team kung saan hindi naiwasang maging emosyonal ng bride at groom sa gitng ng ulan. Nalaman ng   na hindi umano nagpatinag sa ulan ang dalawa na itinuloy ang kanilang tila isang garden wedding, Sa video makikitang matiyagang naghihintay ang groom kasama ang kanyang mga groomsmen sa ulanan. Read also Tinaguriang ""Half-man skateboarder"", nanatiling positibo sa kabila ng kapansanan Ang kanyang bride, naluluha na sa paglalakad patungong altar na nakapayong. Subalit hindi nagtagal, tinanggal na rin niya ang payong at hinayaang mabasa na rin ang sarili tulad ng kanyang groom na naghihintay sa kanya. Kapansin-pansin din ang mga groomsmen na emosyonal na rin dala ng nakakatunaw ng pusong sitwasyon sa kasalan. Samantala, narito naman ang komento ng ilang mga netizens: Kamakailan, naging agaw-eksena rin sa social media ang bagong kasal na tila  naging instant millionaire  dahil sa nalikom nila sa kanilang money dance. Read also Korina Sanchez, pinakita ang nakakaaliw na pag-uusap ng mga anak Kinagiliwan at hinangaan din ng marami ang isang kasalan na  Php 3,000 lang ang nagastos  ng bride at groom sa kanilang wedding reception na ginanap sa Mang Inasal. Gayundin ang isang bride na ayaw ng enggrandeng kasalan kaya naman niregaluhan na lamang siya ng kanyang groom ng 6000 sqm na lote. Sa panahon ng pandemya, ilan lamang sila sa mga hindi nagpatinag sa virus at itinuloy pa rin ang kanilang pag-iisang dibdib. Siniguro lamang nila ang pagsunod sa safety protocols at tamang bilang ng mga panauhin.",Viral ang maiksing video ng paglakad ng isang bride sa gitna ng ulan patungo sa kanyang groom. Mapapansing nakapayong pa ang bride sa simula ngunit tinanggal na rin niya bago pa man makarating sa altar. Makikitang basa na rin sa ulan ang emosyonal na groom gayundin ang mga kasama nito habang naghihintay sa kanyang bride. Umabot sa mahigit 1 million ang views ng naturang TikTok video na umantig sa puso ng maraming netizens,"Wednesday, July 06, 2022 at 10:25 PM",https://kami.com.ph/tagalog/144433-wedding-video-ng-emosyonal-na-bride-groom-na-di-patinag-sa-ulan-viral/
"Nora Aunor, personal nang natanggap ang parangal bilang isang National Artist","Natanggap na ng nag-iisang Superstar na si Nora Aunor ang kanyang parangal bilang National Artist. Nalaman ng   na sa pagkakataong ito, siya na mismo ang tumanggap ng kanyang pangaral. Matatandaang ang kanyang mga anak na sina Matet at Ian De Leon ang humarap kamakailan kay Pangulong Rodrigo Duterte upang tanggapin ang gantimapala ng kanilang ina. Hirap man sa pagsasalita dahil umano sa karamdaman nito sa kanyang baga, sinikap pa rin niyang ipabatid ang mensahe hindi lamang sa kanyang mga fans, kundi sa taong naniniwala sa husay ni Nora. Read also Donnalyn Bartolome, nagpasaring tungkol sa ""panghihimasok sa pamilya"" ""Kayo pong lahat ang dahilan kung  bakit may awit sa aking puso, kayo po ang dahilan kung bakit may isang Nora Aunor,""  bahagi ng kanyang pahayag. ""May sakit naman si Nora Aunor. Hindi naman niya kaya. Pinaghandaan niya 'to, sabi nga ng mga anak niya nagpagupit pa raw ng buhok. Matagal na niyang pinaghandaan ang pinakam a taas na antas ng parangal sa kahit sinong artista,""  ani ni Cristy sa isang episode niya sa kanyang YouTube channel. SI Nora Cabaltera Villamayor o mas kilala bilang si Nora Aunor ay isang Filipina actress, recording artist, at film producer. Gumanap din siya sa ilang mga stage plays, television shows at mga concerts. Huli siyang napanood sa mga teleserye sa GMA 7. Kamakailan,  pinagtanggol ng sikat na kolumnista at showbiz reporter  ng bansa na si Cristy Fermin si Nora at pinabulaanang ang sabi-sabi na naghihirap na ito. Read also Ivana Alawi, inaming makailang beses nang naloko umano ng mga naging BF niya Aniya, maaring magkaiba ng pamamaraan sa paghawak ng pera lalo na kung ikukumpara ito kay Star for all Seasons, Vilma Santos-Recto, wala naman umanong katotohanang unti-unti na itong naghihirap. ""Kung sabagay, kung tinitigan mo nga namang mabuti 'yung kwento, wala kasi siyang masyadong trabaho ngayon. Tapos 'yung kwentong wala siyang naipon, totoo rin naman 'yun kasi hindi nga siya ganoon kagaling humawak ng pera pero hindi naman siya nagdarahop,""  ayon kay Cristy.","Natanggap na ni Nora Aunor ang kanyang parangal bilang isa sa mga Pambansang Alagad ng Sining. Matatandaang ang mga anak niyang sina Matet at Ian De Leon ang tumanggap ng kanyang award sa harap mismo ni Pangulong Rodrigo Duterte. Kapansin-pansing hirap nang magsalit ang Superstar dala umano ng kanyang karamdaman. Sinasabing pinaghandaan ito ni Aunor, subalit sa unang pagkakataon, hindi rin niya kinaya","Friday, July 01, 2022 at 12:29 AM",https://kami.com.ph/tagalog/144257-nora-aunor-personal-nang-natanggap-ang-parangal-bilang-isang-national-artist/
"Teacher na idinulog sa RTIA dahil nawawala sa Parañaque, natagpuan na","Natagpuan na ang teacher na si Amelia Montemayor matapos ang mahigit na isang linggo nitong pagkawala. Nalaman ng   na agad na nagbigay ng update ang pamilya ni Teacher Amelia sa programa ni Senator Raffy Tulfo na Wanted sa Radyo kung saan dumulog pa umano sila para mahanap ang teacher. Read also Andrew Schimmer, labis ang pasasalamat; ""Lalabas na ng hospital ang aking asawa"" Nakausap mismo ni Senator Tulfo ang ina ni Amelia na nagsabing kasama na umano nila ito sa Pangasinan. Sa kanila umanong pagtatanong-tanong, natunton nila sa Cavite si Amelia kung saan nasundo nila ito sa tulong ng pulisya.   Dahil dito, napangaralan ni Tulfo si Amelia gayundin ang mga 'anak' na nanonood sa kanilang programa na dapat na nagpapaalam sa mga magulang lalo na kung matagal na mawawala. Lumalabas na gusto na pala talagang mapag-isa ni Amelia na nais nang bumukod sa kanyang pamilya. Narito ang kabuuan ng video mula sa Raffy Tulfo in Action YouTube channel:   Matatandaang isa ang programang Raffy Tulfo in Action sa tumutok sa pag-usad ng kaso ng  pagkawala rin ng isang babae  sa Palawan. Noong Agosto 5, gumulantang sa publiko ang  pagkawala ng 22-anyos na dalagang si Jovelyn Galleno.  Sa salaysay ng kapatid nito, 6:30 ng gabi nang araw na iyon, nag-out si Jovelyn na kinumpirma ng kanyang boss sa mall kung saan siya nagtatrabaho. Read also Badjao Girl, nakumpirmang ligtas sa cancer sa tulong ni Karen Davila Nakapag-chat pa umano ito sa kanyang kapatid subalit makalipas ang ilang oras, hindi pa rin ito dumarating sa kanilang bahay. Sa tulong ng ilang kuha niya sa CCTV, nakumpirma nila ang ilan sa mga mga pinatunguhan ni Jovelyn maging ang pagsakay nito sa multicab. Mahigit tatlong linggo na ang nakalipas, natagpuan ang mga sinasabing buto ni Jovelyn sa lugar na nahalughog na umano sa mga unang oras at araw pa lamang nang siya ay mawala.",Natagpuan na ang teacher na nawawala sa Parañaque na naidulog pa sa Raffy Tulfo in Action. Setyembre 21 umano nang huling makita ito at nahagip pa ng CCTV na isa umanong lalake ang kasama nito. Subalit lumipas ang mahigit isang buwan at hindi pa rin umuwi ang teacher na labis na pinag-alala ng kanyang mga kaanak. Inakala pa ng kanyang kapatid na ang lalaki sa CCTV ay dati nilang landlord sa inupahang bahay subalit hindi pala ito ang lalaking iyon,"Monday, October 10, 2022 at 10:45 AM",https://kami.com.ph/tagalog/147495-teacher-na-naiulat-na-nawawala-sa-paranaque-natagpuan-na-tulfo-nagpaalala/
"Mayor sa Mexico, pinakasalan ang buwaya bilang tradisyon","Agaw-eksena sa social media kamakailan ang isang alkade sa bansang Mexico na hindi tao ang pinakasalan kundi isang buwaya. Nalaman ng   na ang alkaldeng si Victor Hugo Sosa ng isang maliit na bayan ng San Pedro Huamelula sa Oaxaca sa Mexico ay isang buwaya ang bride na bahagi ng isang ritwal. Sinasabing ang pagpapakasal umano sa isang buwaya ay paghiling sa kalikasan ng kasaganaan para sa kanyang mga tao bilang pinuno ng kanilang lugar. Read also Dalawang beses na na-engage, 'Mr. Right' din pala ang hanap ng una sanang pakakasalan Sa maiksing video na ibinahagi ng  South China Morning Post,  makikitang binihisan pa talaga ang buwaya ng puting animo'y bistida at sinamahan pa ng mga bulaklak at palamuti na para talaga siyang isang bride. Pinaniniwalaan umano ng mga indigenous communities sa Oaxaca na simbolo ng pagkakaisa ang naganap na pag-iisang dibdib ng kanilang alkalde. Isa umano ito sa kanilang mga sinaunang ritwal na ginaganap sa maliit ng komunidad ng Chontal at Huave. Kamakailan, naging agaw-eksena rin sa social media ang  isang babae sa India  na nagawang pakasalan ang kanyang sarili. Ito ay dahil sa pagkainip umano niya na darating pa ang kanyang ""Mr. Right."" Hunyo 11 ngayong taon talaga itinakda ang  seremonya ng kasal  ni Kshama. Subalit umurong na ang pari na magsagawa ng kasal maging ang templo kung saan sana ito gaganapin ay kinansela ang kanyang booking. Read also Gerald Anderson, hindi nakaligtas sa prank ni Ivana Alawi Sa kabila ng mga aberya, itinuloy pa rin ang seremonya dahilan upang masabi na si Kshama ang pinakunang 'sologamist' sa India. Gayunpaman, suportado siya ng kanyang ina at mga kaibigan kahit 24-anyos pa lamang siya at marami pa sanang pagkakataon na maaring makilala na niya ang taong nakalaan para sa kanya. Sa ginawa niyang ito, hiling din ni Kshama na maging inspirasyon sa mga taong tila nagdududa nang makakita pa ang taong nakatakdang makasama nila habang buhay.",Isang alkalde sa Mexico ang nagpakasal umano sa isang buwaya. Bahagi raw ito ng isang ritwal sa paghingi ng kasaganahan mula umano sa kalikasan. Mapapansing binihisan pa ng pang-bride ang buwaya na bitbit ng alkalde sa seremonya. Matatandaang kamakailan isang babae naman sa India ang nagawang pakasalan ang sarili at tila nainip nang hintayin pa ang kanyang Mr. Right,"Saturday, July 02, 2022 at 1:54 PM",https://kami.com.ph/tagalog/144287-mayor-sa-mexico-isa-umanong-buwaya-ang-pinakasalan-para-sa-isang-ritwal/
"Public school teacher, viral matapos ipahiram ang kanyang sapatos sa isang estudyante","Umani ng papuri ang isang public school teacher mula sa Pototan National Comprehensive High School sa Pototan, Iloilo na si Gng. Cornelia Castor. Ito ay matapos mag-viral ang nakakaantig na tagpo kung saan makikita siyang nakayapak habang pinapahiram sa isang mag-aaral ang kanyang sapatos. Ayon sa Facebook user na si   Krissy Selorio  na nagbahagi ng mga litrato ni Gng. Castor, pinahiram ng teacher ang kanyang black shoes sa kalagitnaan ng graduation march. Marami ang humanga sa pagmamalasakit ni Gng. Castor sa mag-aaral. Read also Lorma College, nagsalita na ukol sa graduating student na umano'y di pinaakyat ng stage Five Stars ⭐⭐⭐⭐⭐for this  teacher!! my heart melts seeing her & her graduate! She took off her shoes in the midst of graduation march to give her student a chance to walk in the isle of Pototan Astrodome wearing her own black shoes! You deserve a with highest honor medal maam!   Magmula noong makaranas ng pandemya bunsod ng COVID-19 ang buong mundo, isa sa sektor na naapektuhan nang labis ay ang edukasyon. Maging ang pagsisimula at pagtatapos ng mga klase sa lahat ng paaralan sa bansa, pampubliko man o pribado ay nabago. Kamakailan ay  nagbigay pahayag na ang paaralan ng nag-viral na nursing graduate na umano'y hindi pinaakyat ng entablado . Matatandaang nag-viral ang video niya matapos ikwentong hindi niya nakuha ang diploma sa dapat sana'y pag-akyat niya ng entablado. Nalungkot estudyante hindi dahil sa hindi siya umakyat sa stage ng graduation kundi ang sa reaksyon ng ina sa nangyari. Ayon sa Lorma Colleges, iimbestigahan nila umano ang nangyari sa insidente. Read also Estudyante, hindi umano pinaakyat ng stage para sa diploma dahil late nakabayad ng grad fee Matatandaang  muling naglabas ng pahayag ang paaralan ng nag-viral na graduating student kamakailan.  Ito ay kaugnay sa pag-aalis umano sa pila ng naturang graduating student na noo'y papanhik na sana ng entablado para tanggapin ang diploma. Sinasabing may kaugnayan ito sa hindi agad nabayarang graduation fee ng estudyante na hindi rin agad nakumpirma matapos bayaran. Isang pagpupugay sa mga magigiting na Kaguruan mula sa ! Kami po ay Saludo sainyong dakilang paglilingkod para sa ating bayan.","Hinangaan ang isang public school teacher matapos mag-viral ang kahanga-hanga nitong pagmamalasakit sa estudyante. Ayon sa post ng netizen na nagbahagi ng mga pictures, pinahiram ng teacher ang kanyang black shoes sa kalagitnaan ng graduation march. Marami ang naantig sa tagpong ito kung saan hindi alintana ng teacher na walang sapin ang kanyang paa para lang mapahiram ang mag-aaral na kabilang sa mga nagtapos. Naganap ito sa araw ng pagtatapos ng Pototan National Comprehensive High School sa Pototan, Iloilo","Friday, July 01, 2022 at 11:21 PM",https://kami.com.ph/tagalog/144286-teacher-umani-ng-papuri-matapos-makuhanan-ang-kanyang-pagpapahiram-sa-sapatos-sa-estudyanteng-magtatapos/
"PWD na nagdiriwang pala ng kaarawan, naluha nang isurpresa ng mga service crew","Umantig sa puso ng mga netizens ang viral video kung saan naluha ang isang customer sa naisipang gawin sa kanya ng ilang service crew. Nalaman ng  na kaarawan pala ng naturang customer na kumain sa isang fast food chain sa Cebu City. Ayon sa  News5 , wala pa umano ang pagkaing nais nitong kainina ngunit nag-order na lamang ito ng iba. Nang ibigay ng customer ang kanyang PWD card, doon napag-alaman ng service crew na kaarawan pala nito. Read also Andi Eigenmann, inalmahan ang mga Siargao tourists na nag-iwan ng basura   Kaya naman naisipan nila itong isurpresa lalo na at kumakain lamang ito na mag-isa sa espesyal na araw niya. Makikita sa video na talagang naluha ang customer habang kinakantahan siya ng 'Happy Birthday' song ng ilang crew na may dala pang pancakes na may birthday candle at lobo. Kwento pa ng uploader at  branch head ng fast food na si Cristine Sumayang Bustillo, papunta pala ang customer sa ospital ng araw na iyon upang magpa-insulin. Kamakailan, dinagsa naman ng orders ang fast food chain na Tropical Hut matapos na mag-viral ang post ng isasa mga naging customer nila sa Escolta. Matatandaang isa kasi ito sa tanyag na fast food chain noong Dekada '80s at '90s na  patok na patok sa panlasang Pinoy. Kaya naman isa rin sa rason ng muling pagtangkilik sa fast food na ito ay ang mga alaalang dala nito sa kabataan ng ilan. Read also Beauty Gonzalez, makulit na kinuwento ang pagpapasuot ng dog shirt sa anak Samantala, agad namang pinasalamatan ng Tropical Hut si John Paul Tanyag (@dumidyeypee) gayung dahil sa kanyang viral Tweet, marami ang naintriga, na-engganyo at muling nagbalik at tumangkilik sa Fast food chain na minahal ng maraming Pilipino. Matapos ito, sinabing  biglang nag-hiring  ang naturang fast food na nangailangan ng mga service crew at staff dahil umano sa pagdagsa at pagdami ng kanilang customers.","Naiyak ang isang customer nang biglang isurpresa siya siya ng mga service crew sa kinainang fast food. Wala pa umano ang order sana ng customer ngunit pumili ito ng ibang pagkain. Nang ibigay nito ang PWD card niya sa kahera, doon nila nakitang kaarawan pala nito. Naluha ang customer na papunta pala sa ospital para magpa-insulin","Tuesday, July 19, 2022 at 8:57 AM",https://kami.com.ph/tagalog/144849-pwd-na-nagdiriwang-pala-ng-kaarawan-naluha-nang-isurpresa-ng-mga-service-crew/
"Viral delivery rider noong 2020, nagtapos na ngayon bilang magna cùm laude","Naka-graduate na ang dating delivery rider na si Francis Jan Ax Valerio na minsang nag-viral noong 2020. Nalaman ng na si Francis ang noo'y nasa larawan na nakahinto, habang hawak ang cellphone hindi para mag-abang ng orders kundi para makadalo ng kanilang online classes. Ginagawa raw ito ng working student tuwing siya ay naka-break o di naman kaya ay kung wala pang dagsa ng delivery ayon sa Radyo Singko 92.3 News FM﻿. Read also Gladys Reyes, kahanga-hanga ang diskarte sa kanilang negosyo sa gitna ng pandemya   Ngunit sa panayam ng  ABS-CBN News  kay Valerio, sinabi niyang kinailangan niya itong gawin dahil na-stroke ang kanyang ama nito lamang Hulyo. Ang kanyang ina na isang government employee ay hindi rin makapagtrabaho dahil ito ang nagbabantay sa ama. Bukod kay Francis, may isa pa siyang grade 10 student na kapatid na kailangan din niyang suportahan. At makalipas nga ang dalawang taon, dala na rin ng patuloy niyang pag-raket, nakatapos siya sa kursong communications bilang isang magna cùm laude. Read also Zeinab Harake, masaya na daw na sila lang ng anak niyang si Bia ang magkasama Kahanga-hanga ang mga  working student  na dala ng hirap ng buhay, kinakailangan nilang pagsabayin ang pag-aaral at ang pagtatrabaho. Kamakailan ay hinangaan din ng marami ang isang  delivery rider  na nagagawa pa ring dumalo ng kanyang online classes habang rumaraket sa pagtatrabaho. Gayundin ang isang working student sa isang fast food chain na ginugugol ang kanyang breaktime sa pagdalo ng kanyang online classes.  Distance learning man ang sistema ng edukasyon sa nagdaang dalawang taon at maging sa kasalukuyan bilang pag-iingat sa COVID-19, marami pa ring mag-aaral ang hinarap ang hamon na ito sa tulong ng kanilang mga magulang masiguro lamang na tuloy-tuloy pa rin ang edukasyon sa kabila ng pandemya.","Nakapagtapos na ng kolehiyo ang nag-viral na delivery rider noong 2020. Matatandaang umantig sa puso ng netizens ang larawan ng delivery rider na isa pa lang working student. Aniya, kinailangan niyang magdoble kayod gayung nagkasakit ang kanyang ama habang ang ina naman nito ang nag-aalaga. Hindi lamang siya nakatapos, magna cùm laude sa isa sa mga kilalang unibersidad sa bansa","Thursday, July 14, 2022 at 3:29 PM",https://kami.com.ph/tagalog/144665-viral-delivery-rider-noong-2020-nagtapos-na-ngayon-bilang-magna-cum-laude/
