title,article_text,summary,article_date,source
"Kaso ng leptospirosis dumami, pati mga namamatay","Patuloy na dumarami ang kaso ng dinadapuan ng sakit na leptospirosis na naitala na sa higit 1,400 habang umaakyat din ang bilang ng mga nasawi dahil dito, ayon sa Department of Health (DOH). Sa pinakahuling datos ng DOH, nasa kabuuang 1,462 kaso na ng leptospirosis ang naitala mula Enero 1 hanggang Agosto 13. Mas mataas ito ng 17 porsyento kumpara sa 1,249 noong 2021. Karamihan sa mga kaso ay mula sa Metro Manila na may 274, kasunod ang Cagayan Valley at Western Visayas na parehong may 174 kaso, Central Visayas na may 118, Davao region na may 115, at 112 naman sa Central Luzon. Nasa 203 pasyente na ang nasawi dahil sa naturang sakit ngayong taon. Mas mataas ito ng 13.9 porsyento kumpara sa 131 noong 2021. Ang pagtaas ng kaso ng leptospirosis ay dahil sa pagpasok ng tag-ulan na nagdudulot ng pagbaha sa mga komunidad.  Dito nahahaluan ng dumi ng mga hayop partikular ng mga daga ang tubig-baha at maging mga inuming tubig na dahilan ng pagkakasakit. Kabilang sa sintomas nito ay mataas na lagnat, pananakit ng kalamnan, pamumula ng mata, pangi­nginig, matinding sakit ng ulo, pagsusuka, pagtatae, at paninilaw ng balat.","Patuloy na dumarami ang kaso ng dinadapuan ng sakit na leptospirosis na naitala na sa higit 1,400 habang umaakyat din ang bilang ng mga nasawi dahil dito, ayon sa Department of Health (DOH).","September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/09/05/2207389/kaso-ng-leptospirosis-dumami-pati-mga-namamatay
"Nursing home sa inabandonang mga lolo, lola isinulong","Nais ni Senador Win Gatchalian na magkaroon ng nursing home sa bawat lungsod at munisipalidad sa bansa para sa mga senior citizens na inabandona at walang tahanan. Inihain ni Gatchalian ang Senate Bill No. 950 o ang “Homes for Abandoned Seniors Act of 2022” kung saan ang mga nursing homes na ito ay patatakbuhin ng Department of Social Welfare and Development (DSWD) sa tulong ng mga local government units (LGUs). Habang ang mga LGU naman ang magkakaroon ng responsibilidad na ipatayo ang mga nursing homes. Sinabi ni Gatchalian na inspirasyon ng kanyang panukalang batas  ang “Bahay Kalinga” at “Bahay Kanlungan Tahanan Nila Lolo at Lola” na nagbibigay kalinga sa mga senior citizens sa lungsod ng Valenzuela. Ang Bahay Kalinga na itinatag noong 2012 ay isang two-storey half-way home para sa 25 senior citizens na inabandona o walang tahanan. Ang four-storey na Bahay Kanlungan naman ay binuksan noong 2021 at nagbibigay tahanan sa 90 mga lolo at lola. May sarili itong clinic, physical therapists, psychologists, nutritionists, at ‘yung tinatawag na house parents na magbabantay sa mga senior citizens sa buong maghapon. Bagama’t natutugunan ng lungsod ng Valenzuela ang pangangailangan ng mga senior citizens na inabandona at walang tahanan, sinabi ni Gatcha­lian na marami pang mga walang tahanang senior citizens ang kailangang bigyan ng saklolo. Sa ilalim ng panukala ni Gatchalian, magiging komportable ang mga nursing homes na ito dahil magbibigay ito ng sapat na pagkain, pananamit, serbisyong pangkalusugan, counseling, at iba pa. Si Gatchalian ang pangunahing may akda ng panukalang ito na una na niyang inihain noong 17th at 18th Congress.",Nais ni Senador Win Gatchalian na magkaroon ng nursing home sa bawat lungsod at munisipalidad sa bansa para sa mga senior citizens na inabandona at walang tahanan.,"September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/09/05/2207386/nursing-home-sa-inabandonang-mga-lolo-lola-isinulong
"COC filing sa Barangay, SK polls umpisa na sa Oktubre 6-13","Itinakda na ng Commission on Elections (Comelec) ang pagsusumite ng ‘certificate of candidacy (COCs)’ para sa 2022 Barangay at Sangguniang Kabataan elections mula Oktubre 6 hanggang 13. Sa naturang petsa, nilinaw ni Comelec chairperson George Garcia na walang ‘COC filing’ sa Oktubre 9. Mag-uumpisa ang election period mula Oktubre 6 hanggang Disyembre 12 kung kailan ipatutupad rin ang Comelec gun ban. Nilinaw ni Garcia na sa mga nakakuha ng ‘gun ban exemptions’ noong 2022, pinaplano na ng komisyon na palawigin ito hanggang sa BSKE elections. Itinakda rin ang ‘campaign period’ mula Nob­yembre 25 hanggang Disyembre 3 bago ang aktuwal na halalan sa Disyembre 5. Kung matutuloy ang halalan at hindi magiging epektibo ang mga suhestiyon na suspindihin ito, mag-uumpisa ang halalan sa Disyembre 5 mula alas-7 ng umaga hanggang alas-3 ng hapon. Ipinaalala rin ng Comelec na ang huling araw ng pagsusumite ng Statements of Contributions and Expenditures (SOCE) ay sa Enero 4, 2023.",Itinakda na ng Commission on Elections (Comelec) ang pagsusumite ng ‘certificate of candidacy (COCs)’ para sa 2022 Barangay at Sangguniang Kabataan elections mula Oktubre 6 hanggang 13.,"September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/09/05/2207390/coc-filing-sa-barangay-sk-polls-umpisa-na-sa-oktubre-6-13
"Locsin, bagong envoy sa UK, Northern Ireland","Itinalaga ni Pangulong Ferdinand “Bongbong” Marcos Jr. si Teodoro Locsin Jr. bilang bagong Ambassador Extraordinary and Plenipotentiary to the United Kingdom ng Great Britain at Northern Ireland. “We confirm the appointment of Teodoro Locsin Jr., as the Ambassador Extraordinary and Pelnipontentiary to the United Kingdom of Great Britain and Northern Ireland”, ayon kay Press Secretary Trixie Cruz-Angeles. Matatandaan na si Locsin ay nagsilbing kalihim ng Department of Foreign Affairs (DFA) sa ilalim ng Duterte Administration. Bago pa maging kalihim ng DFA, si Locsin ay speechwriter ni dating Pangulong Corazon Aquino, Joseph Estrada at Gloria Macapagal-Arroyo Dati rin siyang publisher ng isang pahayagan, broadcaster at law professor.",Itinalaga ni Pangulong Ferdinand “Bongbong” Marcos Jr. si Teodoro Locsin Jr. bilang bagong Ambassador Extraordinary and Plenipotentiary to the United Kingdom ng Great Britain at Northern Ireland.,"September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/09/05/2207387/locsin-bagong-envoy-sa-uk-northern-ireland
"Bise Presidente Sara, OIC habang nasa state visit si Pangulong Bongbong Marcos","Itinalaga si Vice Pre­sident Sara Duterte bilang officer-in-charge (OIC) ng bansa kasunod ng state visit ni Pangulong Ferdinand Marcos Jr. sa Indonesia at Si­ngapore ngayong linggo. Ito ang akasaad sa Special Order No. 75, na inilabas ng Office of the Press Secretary kahapon. Kahapon at bumiyahe na ang Pangulo na kauna-unahan niyang foreign trip matapos maupo bilang Pangulo ng bansa. “So I leave to undertake my first state visit to our immediate neighbors, Indonesia and Singapore. In other words, ako’y mangangapit-bahay para sa ating bansa at para sa ating ekonomiya,” mensahe ng Pangulo bago umalis. Bukod sa gagawing state visit, inaasahang makikipagkita ang Pa­ngulo sa Filipino community sa kanyang pagdating sa kabisera ng Indonesia. Ang pagbisita ni Marcos sa Indonesia ay mula Setyembre 4-6. Ito’y sa imbitasyon ni Indonesian President Joko Widodo kung saan inaasahan na pag-uusapan nila ang tungkol sa pagdepensa sa maritime border security, econo­mic development at people to people exchanges. Pag-uusapan din ang umano’y tungkol sa priority areas ng administrasyong Marcos tulad ng infrastructure, renewable energy, food and security at fertilizer importation. “I expect that we will be coming back with a harvest of business deals to be signed in my state visits that will further strengthen our economic ties with both Indonesia and Singapore,” base pa sa speech ni Marcos. Kasama sa delegasyon ni Marcos sina Foreign Affairs Sec. Enrique Manalo, Finance Sec. Benjamin Diokno, Trade and Industry Sec. Alfredo Pascual, Budget Sec. Amenah Pangandaman, Socioeconomic Planning Sec. Arsenio Balisacan at Bangko Sentral ng Pilipinas Go­vernor Felipe Medalla.  - Gemma Garcia",Itinalaga si Vice Pre­sident Sara Duterte bilang officer-in-charge (OIC) ng bansa kasunod ng state visit ni Pangulong Ferdinand Marcos Jr. sa Indonesia at Si­ngapore ngayong linggo.,"September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/09/05/2207388/bise-presidente-sara-oic-habang-nasa-state-visit-si-pangulong-bongbong-marcos
"Senador gusto 'i-ban' sitsirya, matatamis na inumin sa eskwela","Nais ipagbawal ng isang action-star-turned-senator ang mga junk food at inuming puno ng asukal sa mga eskwelahan, bagay na nakikita niyang tugon sa ""lumalalang problema ng child obesity"" at malnutrition sa Pilipinas habang itinutulak ang health diet sa lahat ng mag-aaral at mga guro. Sa kanyang Senate Bill 1231, na pinamagatang Healthy Food and Beverage in Public Schools Act, layong i-ban ni Sen. Lito Lapid ang sale, distribution at promotion ng mga nabanggit sa loob ng mga pampublikong paaralan at mga tindahang 100 metro mula sa mga ito. Sakop nito ang mga elementarya at hayskul. ""Maraming mga pag-aaral na ang nagpapakita na ang mga estudyanteng na hindi nakakakuha ng sapat na nutrisyon ay nahihirapang mag-pokus at matuto, na kadalasan ay humahantong sa mababang mga marka, o 'di kaya naman, ay may posibilidad na huminto sa pag-aaral,"" ani Lapid, Lunes, sa isang pahayag. ""Kung atin pong titiyakin na mayroong sapat akses ang mga mag-aaral sa mga pagkain na may mataas sa nutritional value, ay masisiguro natin na maitataas natin hindi lamang ang antas ng kalusugan ng mga mag-aaral, kundi pati na rin ang kanilang performance sa eskwelahan."" Ang palayaw na ""Pinuno"" ay bansag kay Lapid noong umeere pa ang Kapamilya serye na ""Ang Probinsya"" sa ABS-CBN, A2Z at TV5. Wika pa niya, malaki ang papel ng pagkain nang masustansya sa pagkatuto at pag-develop ng pag-iisip.  Aniya, ilang pag-aaral na rin daw kasi ang nagpakita na mas nahihirapan ang mga batang matuto sa paaralan sa tuwing hindi nakakukuha ng sapat na sustansya. Ilan daw sa mga nagiging resulta nito ay mabababang test scores o pag-drop out sa eskwela. Taong 2016 lang nang i-publish sa  National Library of Medicine  ang isang pag-aaral na sumusuri sa dietary habits na naiuugnay sa ""poor academic performance.""  Ilan sa mga inaral sa nabanggit ay ang dalas ng pagkain ng prutas, soft drinks, fast foods, instant noodles, confections, gulay at gatas at kung gaano karegular nakakakain ng agahan, tanghalian at hapunan ang nasa 359,264 batang edad 12-18 na tinipon ng Korea Youth Risk Behavior Web-based Survey (KYRBWS). ""Itong ating isinusulong na programa ay hindi lamang naglalayong bawasan ang mga kaso ng obesity at malnutrisyon sa ating bansa at mapabuti ang kalusugan at kapakanan ng ating mga mag-aaral, ito rin ay naglalayong bumuo ng magagandang mga gawi o habit na madadala nila sa kanilang pagtanda,"" dagdag pa ni Lapid. Taong 2007 nang  maglabas ang Department of Education ng Order no. 8  na nagbabawal sa pagbebenta ng carbonated drinks, sugar-based synthetic o artificially flavored juices, junk food atbp. Sa kabila nito, ibinebenta pa rin ang soft drinks sa maraming canteens sa mga public schools sa Kamaynilaan.","Nais ipagbawal ng isang action-star-turned-senator ang mga junk food at inuming puno ng asukal sa mga eskwelahan, bagay na nakikita niyang tugon sa ""lumalalang problema ng child obesity"" at malnutrition sa Pilipinas habang itinutulak ang health diet sa lahat ng mag-aaral at mga guro.","September 5, 2022  4:53pm",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/09/05/2207570/senador-gusto-i-ban-sitsirya-matatamis-na-inumin-sa-eskwela
Pagsasabatas ng ADAC Bill suportado ni Bong Go,"Nananatili si Senator Christopher “Bong” Go sa determinasyong ipagpatuloy ang kampanya ni dating Pangulong Rodrigo Duterte na puksain ang iligal na droga sa pagpapakita ng suporta sa panukalang Anti-Drug Abuse Council (ADAC) Law. Sa pampublikong pagdinig na isinagawa ng Senate committee on public order, binigyang-diin ni Go, na nagsisilbing vice chair ng komite, na malaki ang maitutulong ng institusyonalisasyon ng ADAC sa kampanya laban sa illegal drugs, lalo sa pakikipag-ugnayan sa mga kaugnay na ahensya at pagsubaybay sa mga insidenteng may kinalaman sa droga. “Long overdue na po itong Anti-Drug Abuse Council Law, that seeks to institutionalize Anti-Drug Abuse Councils in every local government unit. Sang-ayon po ang mga panukalang ito sa ha­ngarin ng ating gobyerno na mapanatili ang kapa­yapaan at kaayusan sa ating bansa sa pamamagitan ng pagpuksa sa iligal na droga,” ayon kay Go. Ayon sa Philippine Drug Enforcement Authority (PDEA), mayroong 25,061 barangay o 59.61% sa 42,045 barangay sa buong bansa ang idineklarang drug-cleared at 6,574 na barangay ang drug-free o hindi apek­tado, habang 10,410 barangay ang hindi pa nalilinis. Iniulat din ng Philippine National Police (PNP) na ang bilang ng krimen sa bansa ay bumaba nang husto ng 73.76% sa pagsisimula ng administrasyong Duterte noong 2016 hanggang 2021. “Bagama’t hindi ito perpekto, sinikap po ng Duterte administration na bumaba ang crime rate natin, and of course sa tulong po ng ating mga pulis ngayon. And of course sa tulong po ng ating DDB (Dangerous Drugs Board), itong Anti-Drug Abuse Council natin sana po ay maisakatuparan na,” anang senador.",Nananatili si Senator Christopher “Bong” Go sa determinasyong ipagpatuloy ang kampanya ni dating Pangulong Rodrigo Duterte na puksain ang iligal na droga sa pagpapakita ng suporta sa panukalang Anti-Drug Abuse Council (ADAC) Law.,"September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/09/05/2207385/pagsasabatas-ng-adac-bill-suportado-ni-bong-go
"Henry bumilis, napanatili ang lakas","Bumilis at napanatili ang lakas ng Bagyong Henry habang kumikilos pahilagang direksiyon ng bansa. Sa 11 am advisory ng PAGASA, namataan ang sentro ng bagyo sa layong 405 kilometro hilagang silangan ng Itbayat, Batanes. Taglay ng bagyo ang lakas ng hangin na aabot sa 150 km kada oras at pagbugso na 185 km kada oras. Dahil dito,nanatili sa Tropical Cyclone Wind Signal Number 2 ang Batanes habang nasa Cyclone Wind Signal Number 1 ang Babuyan Islands at northeaster portion ng mainland Cagayan partikular na ang Santa Ana. Patuloy na makararanas ng katamtaman hanggang sa malakas na pag-ulan ang Batanes at Babuyan Islands. Inaasahang lalabas na sa Philippine Area of Responsibility ang bagyo Sabado ng gabi.",Bumilis at napanatili ang lakas ng Bagyong Henry habang kumikilos pahilagang direksiyon ng bansa.,"September 4, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/09/04/2207196/henry-bumilis-napanatili-ang-lakas
"Kaso ng tigdas, dumoble","Dumoble pa ang kaso ng sakit na tigdas (measles) sa bansa nang maitala ito ngayon sa 350 kaso, ayon sa Department of Health (DOH). Sa pinakahuling Measles Surveillance Report, ang naturang bilang ay mula Enero 1 hanggang Agosto 13, ngayong taon. Mas mataas ito ng 157 porsyento kumpara sa 136 kaso noong 2021 sa parehong mga buwan. May pinakamataas na naitala sa Central Visayas na may 52, kasunod ang CALABARZON na may 46 at ang National Capital Region (NCR) na may 38. May pinakamalaking itinaas sa mga kaso ang Central Visayas mula apat patungo sa 51 kasunod ang MIMAROPA na mula sa 2 kaso ay naging 15. Wala pa namang naitatalang nasawi dahil sa tigdas sa buong bansa sa nabanggit na panahon. Sa kabila ng aksyon ng ilang lokal na pamahalaan laban sa pagsusuot ng face mask, nanindigan ang DOH sa patuloy na paggamit nito dahil sa bukod sa COVID-19 ay maiiwasan din ang mahawa sa ibang sakit tulad ng tigdas na nakukuha rin buhat sa isang may sakit sa pamamagitan ng ‘droplets’ mula sa pag-ubo, pagbahing, pakikipag-usap. Z","Dumoble pa ang kaso ng sakit na tigdas (measles) sa bansa nang maitala ito ngayon sa 350 kaso, ayon sa Department of Health (DOH).","September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/09/05/2207384/kaso-ng-tigdas-dumoble
"Marcos makikipagpulong sa mga Pinoy sa Indonesia, Singapore","Nakatakdang makipagpulong si Pangulong Ferdinand “Bongbong” Marcos Jr. sa mga Filipino community sa kanyang state visit sa Indonesia at Singapore, ayon sa Malacañang. Sa kanyang Facebook post, sinabi ni Press Secretary Trixie Cruz-Angeles na ang pulong ay magsisilbing daan para masiguro ni Marcos sa mga overseas Filipino worker (OFWs) ang kanilang kapakanan at proteksyon. “Bibisita rin ang Pangulo sa ating mga kababayan sa Singapore at Indonesia para personal na ipaabot ang commitment ng pamahalaan na protektahan ang kanilang mga karapatan at kapakanan bilang OFWs,” ani Cruz-Angeles. Magsisimula ang inaugural state visit ni Marcos sa dalawang bansa sa Southeast Asia ngayong linggo Setyembre 4 hanggang 7. Bibisita muna siya sa Indonesia sa Setyembre 4 hanggang 6 at tutuloy sa Singapore sa Setyembre 6 hanggang 7. Mayroon humigit-kumulang 8,000 Pilipino sa Indonesia, habang sa Singapore ay higit sa 200,000 overseas Filipinos. Ang mga kalahok ay kinakailangang magrehistro online, at hindi papayagan ang walk-in. Ang mga hindi makakadalo ay maaring manood sa live-stream.","Nakatakdang makipagpulong si Pangulong Ferdinand “Bongbong” Marcos Jr. sa mga Filipino community sa kanyang state visit sa Indonesia at Singapore, ayon sa Malacañang.","September 4, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/09/04/2207200/marcos-makikipagpulong-sa-mga-pinoy-sa-indonesia-singapore
