title,article_text,summary,article_date,source
"Pulis na gumahasa sa 9-anyos, arestado","Arestado ang isang pulis-Valenzuela na sinasabing gumahasa sa grade 4 pupil na anak ng kanyang live-in partner sa nabanggit na lungsod. Iniharap ni Valenzuela City Mayor Wes Gatcha­lian ang suspek na si Police Corporal Reynold Aggabao Panao, 38, nakalataga sa Sub Station 6-Valenzuela City Police Station member. Binawi na rin ang service firearm, badge, at ID ni Panao na sinampahan na rin ng kasong statutory rape sa piskalya habang sumasailalim sa Summary Dismissal Proceedings. Batay sa report ng Women’s and Child Police Desk (WCPD) na isinumite kay Col. Salvador Destura, Valenzuela Chief of Police, ginagawa ng  suspek ang panghahalay tuwing wala ang ina ng bata. Subalit Setyembre 3 dakong ala-1 ng mada­ling araw nang muling halayin ng suspek ang 9-anyos na biktima sa kanilang bahay sa Dalandanan, Valenzuela. Tinakot din ng suspek ang biktima nang sabihan siya nito ang bata na ‘wag mag-ingay at kapag nalaman ng kanyang ina ay bubugbugin niya ito. Gayunman,naglakas  loob na nagsumbong ang biktima sa kanyang ina na humingi naman ng tulong sa kapulisan. Inaresto ang suspek na hindi na nanlaban pa. Binigyan diin ni Gatchalian na ibibigay nila ang kaukulang tulong sa biktima partikular ang counselling at sa pamilya nito. Ayon kay Gatchalian, titiyakin niyang walang pulis na magsasamantala sa kanilang tungkulin. Pinuri ng alkalde ang mabilis na responde. Sinabi naman ni Northern Police District Director PCol.Ponce Rogelio Penones, hindi nila kukunsintihin ang maling gawain ng kanyang mga tauhan. Aniya, dapat na pulis ang nagpoproteksiyon sa publiko at hindi nagsasamantala. Dagdag pa ni Destura, isang linggo pa lamang magkarelasyon ang suspek at ina ng biktima. Sasailalim din ang suspek sa drug test.",Arestado ang isang pulis-Valenzuela na sinasabing gumahasa sa grade 4 pupil na anak ng kanyang live-in partner sa nabanggit na lungsod.,"September 6, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/metro/2022/09/06/2207679/pulis-na-gumahasa-sa-9-anyos-arestado
Traffic enforcer huli sa online blackmail,"Arestado ang isang traffic enforcer ng Metropolitan Manila Development Authority (MMDA) dahil sa pangba-blackmail sa isang dalagang estudyante, kamakalawa sa Caloocan City. Nahuli sa isinagawang entrapment operation ang suspect na nakilalang si Ronnie Javier Jr., 28, ng F. Enriquez St., Brgy. Panghulo, Obando, Bulacan. Sa ulat ng MPD-Anti Cybercrime Team, unang dumulog sa kanila ng 21-anyos na estudyante at inireklamo ang suspek na nagpipilit na makipagkita sa kaniya at kung hindi tatalima ay ipo-post ang kanilang mga hubad sa larawan sa social media. Dito nakipag-ugnayan ang MPD sa Northern Police District at nagkasa ng entrapment operation sa harap ng isang botika sa may Monumento, Caloocan. Dakong alas-3:20 ng hapon nang lapitan ng suspek ang biktima habang nakatayo sa lugar at dito na siya inaresto ng mga nakaantabay na mga pulis. Narekober sa suspek ang kaniyang MMDA idenfitication card at iba pang mga IDs, dalawang cellphone, isang condom, at dalawang piraso ng discount card ng isang motel. Nahaharap ngayon ang suspek sa kasong paglabag sa Article 286 ng Revised Penal Code (Grave ­Coercion) at RA 9995 (Anti-Photo and Video Voyeu­rism Act) in relation sa RA 10175 (Cybercrime Prevention Act).","Arestado ang isang traffic enforcer ng Metropolitan Manila Development Authority (MMDA) dahil sa pangba-blackmail sa isang dalagang estudyante, kamakalawa sa Caloocan City.","September 6, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/metro/2022/09/06/2207673/traffic-enforcer-huli-sa-online-blackmail
‘Poblacion girl’ nag-plead ng guilty sa paglabag sa COVID-19 protocols,"‘Guilty plea’ ang ipinasok ng tinaguriang ‘Poblacion Girl’ na si Gwyneth Anne Chua sa paglabag sa COVID-19 quarantine protocols sa  isinagawang  arraignment sa Makati court, kahapon. Ito’y kaugnay sa hindi niya pagsunod sa itinakdang quarantine procedures ng pamahalaan sa kanyang pagbalik sa bansa mula sa Estados Unidos noong nakalipas na Disyembre. Si Chua, kasama ng kanyang mga magulang at abogado ay humarap kay Judge Maureen Rubio Marquez ng Makati City Metropolitan Trial Court Branch 128 kung saan siya umamin ng guilty sa paglabag sa Republic Act 11332 o ang “Mandatory Reporting of Notifiable Diseases and Health Events of Public Health Concern Act,” ayon kay Assistant City Prosecutor Rafael Rodrigo Esguerra. Pinagmulta rin si Chua ng P20,000 kaugnay sa nasabing paglabag. Samantala, patuloy pang diringgin ang kaso laban naman sa security guard ng Berjaya Hotel na si Esteban Gatbonton na una nang naghain ng not guilty plea. Siya ang inakusahang tumulong kay Chua na tumakas sa nasabing hotel bilang quarantine facility. Sinabi naman ng abugado ni Gatbonton na hindi naman maapektuhan ng pag-amin ni Chua ang kaso ng kaniyang kliyente. Matatandaang ang mga magulang at nobyo ni Chua ay una nang isinangkot sa kaso subalit kawalan ng sapat na ebidensiya ang sinabi ng piskalya na nag-abswelto sa kanila, gayundin sa iba pang staff ng nasabing hotel. Una nang naiulat na ang ama ni Chua ang sumundo sa kaniya sa hotel noong Dis. 22 at ang ina ang kasama nang bumalik sa hotel ng Dis. 25, habang ang nobyo naman ay nakitang kasama niya sa isang bar sa Poblacion, Makati noong Dis. 23, 2021.","‘Guilty plea’ ang ipinasok ng tinaguriang ‘Poblacion Girl’ na si Gwyneth Anne Chua sa paglabag sa COVID-19 quarantine protocols sa  isinagawang  arraignment sa Makati court, kahapon.","September 6, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/metro/2022/09/06/2207678/poblacion-girl-nag-plead-ng-guilty-sa-paglabag-sa-covid-19-protocols
"Oil price rollback, epektibo ngayon","Epektibo ngayong Martes ang rollback sa presyo ng produktong petrolyo ng mga kumpanya ng langis. Ayon sa Pilipinas Shell Petroleum Corp. at Seaoil Philippines Inc., ang rollback sa presyo ng produktong gasolina ay may bawas na P2.60, sa diesel  ay may bawas na P1.55 kada litro at ang  kerosene ay may bawas na P1.60.  Ganito rin ang ipatutupad ng kompanyang Cleanfuel  sa produktong gasolina at diesel pero hindi kasama sa bawas presyo nito ang produktong  kerosene. Alas-6 ng umaga ngayong Martes ang bawas presyo ng Pilipinas Shell at Seaoil samantalang ang Cleanfuel ay magro- rollback sa presyo ng alas-12:01 ng madaling araw. Ang presyuhan ng oil products sa world market ang ugat ng oil price rollback.",Epektibo ngayong Martes ang rollback sa presyo ng produktong petrolyo ng mga kumpanya ng langis.,"September 6, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/metro/2022/09/06/2207674/oil-price-rollback-epektibo-ngayon
"DOTr: Pilot operation ng AFCS sa modern PUVs, tatagal ng 9-12 buwan","Tatagal umano ng mula siyam hanggang 12-buwan ang pilot ­operation ng automated fare collection system (AFCS) sa mga modernong public utility vehicles (PUVs) na isinusulong ng Department of Transportation (DOTr), katuwang ang Land Bank of the Philippines (LBP). Ayon kay DOTr Undersecretary Timothy John Batan, sa kasalukuyan ay pili pa lamang ang mga units ng modern PUVs na kalahok sa programa, gayundin ay payment cards pa lamang ng Land Bank ang ginagamit nila. Sakali naman aniyang maging matagumpay ang programa ay tatanggap pa sila ng mas mara­ming payment cards at sasakupin na rin nito ang iba pang yunit at ruta ng modern PUVs. Nabatid na nasa 150 PUVs sa bansa ang kalahok sa pilot run at tanging Land Bank prepaid at credit contactless cards pa lamang ang tinatanggap ng mga ito. Sa sandali naman ­anilang makapagpalabas na ng mga kinakailangang regulasyon at polisiya, maaari ring tumanggap at magproseso ang Land Bank AFCS solution ng iba pang EMV contactless cards na iniisyu ng ibang local banks. Una nang sinabi ni Batan na ang Automated Fare Collection System Euro-Mastercard-Visa Pilot Production Testing Project (AFCS EMV PPT) ay naglalayong isulong ang cashless payment sa mga modernong PUVs. Sa ilalim ng programa, maaaring gamitin ng mga commuters na pambayad sa mga modern PUVs ang kanilang LBP master cards, ATM, credit o debit cards upang pambayad ng pamasahe. Kinakailangan lamang aniya ng mga pasahero na i-tap ang mga natu­rang LBP cards sa kanilang pagsakay at pagbaba sa mga jeep. Nilinaw naman ni Batan na maaari pa ring magbayad ng cash ang mga pasahero kung wala silang payment cards.","Tatagal umano ng mula siyam hanggang 12-buwan ang pilot ­operation ng automated fare collection system (AFCS) sa mga modernong public utility vehicles (PUVs) na isinusulong ng Department of Transportation (DOTr), katuwang ang Land Bank of the Philippines (LBP).","September 6, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/metro/2022/09/06/2207675/dotr-pilot-operation-ng-afcs-sa-modern-puvs-tatagal-ng-9-12-buwan
"100 pamilya, naapektuhan ng sunog sa Quezon City","Tinatayang aabot sa 100 pamilya ang naapektuhan ng sunog na tumupok sa may 50 kabahayan sa isang residential area sa Brgy. Baesa, Quezon City, kahapon ng umaga. Batay sa ulat ng Bureau of Fire Protection-National Capital Region (BFP-NCR), nabatid na sumiklab ang sunog sa silid na matatagpuan sa ikalawang palapag ng isang residential building sa 119 Sitio Pajo, sa Brgy. Baesa, na pagmamay-ari ng isang Joan Cagas. Dakong alas-9:56 ng umaga nang umabot sa ­unang alarma ang sunog at naideklarang fire out dakong alas-12:43 ng tanghali. Sa pagtaya ng mga awtoridad, aabot sa kalahating milyon ang halaga ng mga ari-ariang tinupok ng apoy at wala namang iniulat na nasawi o nasaktan dahil dito. Inaalam pa ng mga awtoridad ang pinagmulan ng sunog.","Tinatayang aabot sa 100 pamilya ang naapektuhan ng sunog na tumupok sa may 50 kabahayan sa isang residential area sa Brgy. Baesa, Quezon City, kahapon ng umaga.","September 6, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/metro/2022/09/06/2207671/100-pamilya-naapektuhan-ng-sunog-sa-quezon-city
"Pagsasampa ng rape case vs Vhong Navarro, ‘premature’ - lawyer","Naniniwala ang ­abogado ng aktor na si Vhong Navarro na ‘premature’ ang ginawang pagsasampa na ng kasong rape ng Taguig City Prosecutor’s Office dahil nagpapatuloy pa umano ang usapin sa Court of Appeals. Sinabi ni Atty. Alma Mallonga, abogado ni Navarro, na nagsu­mite na sila ng motion for reconsideration sa CA makaraang maglabas ng resolusyon na nag-aatas na kasuhan na ang aktor. “Kinilala at inaksyunan na ng korte ang motion for reconsideration sa pamamagitan ng mga resolusyon kung saan pinapasagot si Ms.[Deniece] Cornejo sa motion for reconsideration at pati na rin sa impormasyon na pinakakasuhan na si Mr. Navarro,” ayon kay Mallonga. Dahil umano dito, malinaw na gumugulong pa ang kaso sa CA at ‘premature’ umano ang ginawang paghahain na ng kaso ng Taguig Pro­secutor’s Office. Iginiit pa ni Mallonga na sa ilalim ng Rules of Criminal Procedure, nagpapatigil sa pag-implementa ng desisyon ang paghain ng motion for reconsideration. Ayon pa sa abogado, itinigil ni Taguig RTC ­Executive Judge Antonio Olivete ang pag-raffle ng kaso o pag-assign ng judge na didinig nito dahil sa mosyon. Matatandaang sinampahan ng kasong rape ng prosecutors si Navarro kaugnay sa umano’y panghahalay ng TV host-actor sa model-stylist na si Cornejo noong 2014.",Naniniwala ang ­abogado ng aktor na si Vhong Navarro na ‘premature’ ang ginawang pagsasampa na ng kasong rape ng Taguig City Prosecutor’s Office dahil nagpapatuloy pa umano ang usapin sa Court of Appeals.,"September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/metro/2022/09/05/2207407/pagsasampa-ng-rape-case-vs-vhong-navarro-premature-lawyer
Salpukan ng 2 motorsiklo: 4 katao sugatan,"Apat na katao ang sugatan nang magsalpukan ang kanilang mga sinasakyang motorsiklo sa Brgy. Bahay Toro, Quezon City, kamakalawa ng gabi. Ang mga biktima ay nakilalang sina Vincent ­Ulysses Vargas, 25; Rea­nay Incensio Buenaventura, 16;  Jayson Naraja Badal, 24, at Dionan Guban Cortez, 26. Batay sa inisyal na ulat ng Quezon City Police District (QCPD) Traffic Sector 6, dakong alas-11 ng gabi nang maganap ang aksidente sa Congressional Avenue, kanto ng Hereford St. nasabing barangay. Ayon kay PSMS Jayson Darriguez, bago ang aksidente ay sakay ng Kawasaki Rouser motorcycle (No. 610-PJO), si Badal, angkas si Cortez, at binabaybay ang kahabaan ng Congressional Ave., galing EDSA patungong Mindanao Ave., nang makasalpukan nito ang minamanehong Suzuki Skydrive motorcycle (No. 565-UCI) ni Vargas, na angkas naman si Buenaventura. Dahil sa impact ng banggaan, pawang tumilapon ang riders at kanilang backiders at nagtamo ng sugat. Kaagad naman silang naisugod ng ambulansiya ng Brgy. Bahay Toro sa Quezon City General Hospital upang malapatan ng lunas.","Apat na katao ang sugatan nang magsalpukan ang kanilang mga sinasakyang motorsiklo sa Brgy. Bahay Toro, Quezon City, kamakalawa ng gabi.","September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/metro/2022/09/05/2207406/salpukan-ng-2-motorsiklo-4-katao-sugatan
"Metro Manila mayors, tutulong sa 6.5 milyong housing backlog sa Pinas","Nagpahayag ng pagsuporta ang ilang alkalde sa Metro Manila para sa mga programa ng pamahalaan na naglalayong matugunan ang hou­sing backlog sa bansa na aabot sa mahigit 6.5 milyon. Sa isang pahayag, sinabi ng Department of Human Settlements and Urban Development (DHSUD) na nakatanggap sila ng positibong tugon para sa housing programs kasunod nang ginawa nilang pakiki­pagpulong sa mga lokal na opisyal sa Kalakhang Maynila. Nabatid na nakipagpulong si DHSUD Secretary Jose Rizalino Acuzar kina Marikina City ­Mayor Marcelino Teodoro, Muntinlupa City Mayor Ruffy Biazon, Pasig City Mayor Vico Sotto, Malabon City Mayor Jeannie Sandoval, Caloocan City Mayor Dale Malapitan, San Juan City Mayor Francis Zamora, at Pasay City Mayor Imelda Calixto-Rubiano hinggil dito. Binigyang-diin ni Acuzar ang kahalagahan na makuha ang suporta ng mga Metro Manila local government units (LGUs) para sa ikatatagumpay ng programa sa pabahay. Ito’y dahil karamihan sa 3.7 milyong informal settler families (ISFs) sa bansa ay matatagpuan sa National Capital Region (NCR). Base sa kasaluku­yang datos ng DHSUD, nasa 500,000 ISFs ang nasa NCR, na pawang naninirahan sa mga riles, daanang tubig, estero at iba pang high-risk areas. “We see the role of LGUs as one of the key components to gradually address or even put an end to the challenges we are facing in the housing sector. They are our allies in development,” ani Acuzar. Sa naturang pulong, ibinahagi rin naman ni Acuzar sa mga lokal na opisyal kung paano ita-tap ang mga pribadong developers at financial institutions para sa mas mabilis na pagtatayo ng mga bahay. Inaasahan namang sa mga susunod na araw ay makikipagpulong si Acuzar sa iba pang opisyal ng capital region upang matiyak ang maayos na implementasyon ng housing programs ng pamahalaan.",Nagpahayag ng pagsuporta ang ilang alkalde sa Metro Manila para sa mga programa ng pamahalaan na naglalayong matugunan ang hou­sing backlog sa bansa na aabot sa mahigit 6.5 milyon.,"September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/metro/2022/09/05/2207403/metro-manila-mayors-tutulong-sa-65-milyong-housing-backlog-sa-pinas
2 arestado sa pagnenok ng P60k halaga ng kable ng internet sa Maynila,"Arestado ang dalawang suspek matapos diumanong nakawan ang mahigit P60,000 halaga ng kalbe ng internet sa Sampaloc, Maynila. Sa  ulat  ng GMA News, Lunes, nakita sa CCTV footage ang mga suspek habang tila may kinukumpuni sa isang bubungan sa Miguelin Street, Barangay 475. Nasa hagdan ang isa habang nasa ibaba naman ang kanyang kasama. Pero bigla na lang daw inalerto ng mga residente ang baranggay patungkol sa pagtira ng dalawa sa mga kable. Naaktuhan pa ng security camera na nakatambay sa labas ang dalawa hanggang sa itawag na nila ito sa Manila Police District (MPD). ""Chineck uli namin 'yung CCTV, sa aktwal na oras na 'yon nakita po namin sila na nakatambay po sa labas,"" wika ni Cyrus Villalon, Kagawad ng Bry. 475. ""'Yung chairwoman po namin, agarang tumawag sa España PCP po para humingi po ng responde po."" Nakumpiska kina Tito Arce at Ali Andre Sarif ang sampung metro ng mga kable ng internet na sinasabing nagkakahalaga ng P57,000. Aminado ang dalawa sa kanilang krimen ngunit ikwinentong ginawa lang nila ito dahil sa wala nang pambili ng pagkain matapos masunugan. ""Kaya lang ho namin nagawa 'yon kasi walang-wala na ho kaming makain noong mga panahon na 'yon,"" wika ng isa sa mga suspek. Aniya, binabalatan nila at sinusunog ang mga kable para makuha ang tanso sa loob nito, na siyang ibinebenta nila sa junk shop sa halagang P310/kilo. Depensa pa nila, mas naunang manguha ng kable ng internet ang mga tagakabilang barangay at ang kinukuha lang daw nila ay taong mga pinagputulan na ng mga nabanggit. ""'Yung mga tagakabilang barangay po ang gumagawa noon. 'Yung mga pinagputulan lang po nila 'yung mga hinugot namin,"" dagdag pa ng isa sa mga suspek. Nitong nakaraang linggo lang nang masakote ang suspek na si Alyas Payat sa kabilang barangay dahil din sa pagnanakaw daw ng kable ng internet, ngunit pansamantala siyang nakalaya sa ngayon. Haharap sa kasong theft o pagnanakaw ang dalawa, na hawak na sa ngayon ng MPD Station 4. Ito na raw ang pang-apat na beses na pagnanakaw ng mga kable sa Miguelin Street, lalo na't hindi raw matao sa lugar na ito sabi ng otoridad.  — James Relativo","Arestado ang dalawang suspek matapos diumanong nakawan ang mahigit P60,000 halaga ng kalbe ng internet sa Sampaloc, Maynila.","September 5, 2022  3:30pm",https://www.philstar.com/pilipino-star-ngayon/metro/2022/09/05/2207551/2-arestado-sa-pagnenok-ng-p60k-halaga-ng-kable-ng-internet-sa-maynila
