title,article_text,summary,article_date,source
"SIM card registration, itinutulak ng Quezon solon","Dahil sa laganap na ang mga text scams at iba pang mobile phone-aided criminal activities, isinusulong ngayon sa Mababang Kapulungan ng Kongreso ni Quezon province 4th District Representative Mike Tan ang SIM Card Registration. Ayon kay Rep. Tan, susog ito sa Senate Bill ni Senador Grace Poe na pigilan ang persona­lized text scam. Ayon sa neophyte lawmaker,  nahihirapan ang mga otoridad na resolbahin agad ang cybercrime sapagkat napakadaling magpalit ng SIM Card at walang naiiwang pagkakakilanlan ang ginamit sa paggawa ng krimen. Sa pamamagitan ng House Bill No. 2819 o “An act to eradicate mobile phone-aided terrorism and criminal activities, mandating for this purpose ownership re­gistration of all SIM cards for cellular phones” ay masusugpo ang mga ganitong klase ng masamang gawain. Kapag naging ganap na batas, magkakaroon ng registry o database ng validated information mula sa mga bibili at magmamay-ari ng SIM Cards.  Ito rin umano ang hakbang na ginawa ng Singapore, Malaysia, Indonesia, Brunei, at ng iba pang bansa na nagtagumpay sa implementasyon nito.","Dahil sa laganap na ang mga text scams at iba pang mobile phone-aided criminal activities, isinusulong ngayon sa Mababang Kapulungan ng Kongreso ni Quezon province 4th District Representative Mike Tan ang SIM Card Registration.","September 6, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/probinsiya/2022/09/06/2207655/sim-card-registration-itinutulak-ng-quezon-solon
P9.7 milyon marijuana nasabat sa Bulacan,"Aabot sa P9,720,000.00 na halaga ng bloke ng marijuana ang nakumpiska sa dalawang suspek na sangkot sa pagbebenta ng illegal na droga sa Brgy. Santol ng nasabing bayan kamakalawa ng hapon. Sa report na tinanggap ni Police Regional Office director P/Brig. Gen. Cesar Pasiwen, kinilala ang mga suspek na sina Mark Lambert Bhobe at Angelo Llagas ng Meycauayan at Gaya-Gaya, San Jose del Monte. Nadakip ang mga suspek sa isinagawang buy-bust sa Brgy. Santol, Balagtas, Bulacan ganap na alas-2:45 ng hapon. Nakuha mula sa kanila ang 3-sako na naglalaman ng 81 bloke ng marijuana na nasa 81,000 gramo. Samantala, naaresto sa isa pang operasyon ang limang tulak na sina Jose Oliver Mercado alyas Doro, Jonathan Villafuerte alyas Badong ng San Ildefonso, Gemar Naliatan alyas Amang of Niugan, Angat, Arnold Zaldy Talastas Jr. ng Biñang 2nd, Bocaue at Benjie Agbay ng Brgy, Inaon, Pulilan. Naaresto ang limang suspek sa isinagawang drug bust operation sa bayan ng San Ildefonso sa Bulacan. Nakuha mula sa kanila ang 10 plastic sachet ng hinihinalang shabu at shabu paraphernalia.","Aabot sa P9,720,000.00 na halaga ng bloke ng marijuana ang nakumpiska sa dalawang suspek na sangkot sa pagbebenta ng illegal na droga sa Brgy. Santol ng nasabing bayan kamakalawa ng hapon.","September 6, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/probinsiya/2022/09/06/2207663/p97-milyon-marijuana-nasabat-sa-bulacan
"Kagawad, 1 pa todas sa pamamaril","Patay ang isang barangay kagawad at isang magsasaka habang sugatan ang isa pang lalaki na tinamaan ng ligaw na bala matapos ang pamamaril sa magkahiwalay na bayan sa lalawigan ng Quezon kamakalawa, Ayon kay Quezon Police Provincial­ Office (QPPO) director P/Col. Joel Villa­­nueva, naganap ang unang insidente sa Barangay Ajos, Catanauan, Quezon. Nasa loob ng kanyang tindahan bandang alas-3:50 ng hapon si Barangay Kagawad Ramil Aviso, 55, nang dumating ang dalawang hindi naki­kilalang lalaki at nagkunwaring bibili ng tubig at softdrinks. Nang makakuha ng tiyempo, isa sa mga suspek ang bumunot ng baril mula sa kanyang beywang at pinagbabaril sa ulo at iba’t ibang parte ng katawan ang biktima na agad nitong ikinamatay. Matapos na mapuruhan ang biktima, mabilis na tumakas ang mga salarin sakay ng isang motorsiklo patungo sa direksyon ng bayan ng Mulanay. Nakikipagtalo naman ang magsasakang si Jesie Conde, 48, sa kabarong­ si Rodel Rodriguez, 38, ng Barangay San Vicente dakong alas-8:30 ng gabi sa Sitio Malumbang, Barangay San Juan, San Narciso, Quezon nang ma­inis­ ang huli saka bumunot ng baril at makailang beses na pinaulanan ng punglo sa katawan ang una. Minalas namang tamaan ng ligaw na bala sa kanang bahagi ng tagiliran si Jimmy  Abalete, 50, na noon ay naka­upo lamang sa labas ng kanyang bahay.","Patay ang isang barangay kagawad at isang magsasaka habang sugatan ang isa pang lalaki na tinamaan ng ligaw na bala matapos ang pamamaril sa magkahiwalay na bayan sa lalawigan ng Quezon kamakalawa,","September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/probinsiya/2022/09/05/2207422/kagawad-1-pa-todas-sa-pamamaril
"14-anyos nanlaban sa 2 rapist, nakaligtas","Hindi nasiraan ng loob ang 14-anyos na babae nang pagkakagatin niya ang dalawang lalaking kumaladkad umano sa kanya para pagsamantalahan sa ilog sa Brgy. Cambaog ng bayang ito, ayon sa pulisya kahapon. Kinilala ang naarestong suspek na si Jeffrey Ramos, 34, binata, construction worker habang nakatakas ang kanyang kasamahang si William Jimenez, residente ng Brgy. Cambaog ng naturang bayan. Ang biktima ay itinago sa pangalang Nene, estudyante at residente sa naturang lugar. Sa report ng Bustos Police, nangyari ang insidente bandang alas-8:00 ng gabi sa tabing ilog sa naturang lugar. Ayon sa report, nag­lalakad pauwi si Nene nang biglang dambahin at kaladkarin ng mga suspek papunta sa ilog. Nang makarating sa ilog ay walang kaabug-abog na nilamas ang kanyang dibdib at winasak ang kanyang damit ng dalawang gigil na gigil na suspek. Dahil dito, pinagkaka­gat ng biktima ang mga braso ng mga suspek na nakayapos sa kanya hanggang sa makatakbo at tuluyang makatakas. Agad nagsumbong sa kanyang amain ang biktima na humingi naman ng saklolo sa mga tanod na mabilis na rumesponde kaya nahuli ang isa sa mga suspek. Nahaharap ang mga suspek sa kasong acts of lasciviousness in relation to R.A. 7610.             Tinutugis na rin ng mga pulis ang suspek na nakatakas.","Hindi nasiraan ng loob ang 14-anyos na babae nang pagkakagatin niya ang dalawang lalaking kumaladkad umano sa kanya para pagsamantalahan sa ilog sa Brgy. Cambaog ng bayang ito, ayon sa pulisya kahapon.","September 6, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/probinsiya/2022/09/06/2207660/14-anyos-nanlaban-sa-2-rapist-nakaligtas
8 rebeldeng NPA natepok sa gutom  ,"Walong miyembro ng New Peoples’ Army (NPA) ang pinaniniwa­laang namatay sa matind­ing gutom nang sumailalim sa autopsy ang kanilang mga bangkay sa Ba­rangy Canadam, Maco­nacon, Isabela. Ang mga naturang bangkay ay nakilalang sina Alyas Monmon, Marco, Bryan, Eloy, Bambo, Ri­gid, Dondon at Brad kung saan ang dalawa rito ay dati nang tinutugis ng awtoridad dahil sa rami ng bilang ng krimeng nagawa. Sa autopsy na isinagawa ni P/Lt. Col. Eli­zardo Dailed, medico-legal officer ng Santiago City Forensic Unit sa Maconacon Public Ce­metery noong Agosto 9, pagkagutom ang dahi­lan ng pagkasawi ng walo dahil sa manipis at sobrang payat ng kani­lang mga muscles. Wala rin nakitang sen­yales ng matinding injury, fracture o gunshot wound sa katawan ng mga nahukay na bangkay. Narekober ang walong bangkay dahil sa tulong ng mga dating rebelde na sumuko sa kasundaluhan na nakabase sa bayan ng Maconacon, Isabela na siyang nakakakilala sa mga ito. Naging matagumpay ang pagkuha sa mga bangkay dahil sa pinagsanib na puwersa ng Maconacon Police, PIU, IPPO; 1st IPMFC; 201st MC-RMFB 2; 52MICO at 95th Infantry Battalion ng Philippine Army at 5CMOB.","Walong miyembro ng New Peoples’ Army (NPA) ang pinaniniwa­laang namatay sa matind­ing gutom nang sumailalim sa autopsy ang kanilang mga bangkay sa Ba­rangy Canadam, Maco­nacon, Isabela.","September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/probinsiya/2022/09/05/2207425/8-rebeldeng-npa-natepok-sa-gutom-
Cagayan niyanig ng 4.3 magnitude na lindol,"Niyanig ng magnitude 4.3 na lindol ang lalawigan ng Cagayan kahapon. Batay sa ulat ng Phivolcs, naitala ang lindol dakong alas-12:32 ng tang­hali sa bayan ng Claveria. Tectonic umano ang origin ng pagyanig na may lalim na 20 kilometro. Anang Phivolcs, na­itala ang Instrumental Inten­sity­ 1 sa Claveria, Cagayan. Wala naman uma­nong inaasahang pinsala­ at aftershocks ang Phivolcs­ sa naganap na lindol.",Niyanig ng magnitude 4.3 na lindol ang lalawigan ng Cagayan kahapon.,"September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/probinsiya/2022/09/05/2207412/cagayan-niyanig-ng-43-magnitude-na-lindol
"Ginang at lover, kinatay ng live-in partner","Dahilan umano sa matinding selos, pinagsasaksak hanggang ma­patay ng isang mister ang kaniyang live-in partner at hinihinalang lover nito sa madugong insidente ng love triangle sa Balayan, Batangas nitong Biyernes. Kinilala ang mga nasawi na sina Analyn Alico at umano’y lover nitong si Edison Garilao. Ang mga biktima ay kapwa nagtamo ng malalalim na saksak sa iba’t ibang bahagi ng katawan na siyang kumitil sa kanilang buhay. Nahaharap naman sa kasong pagpatay ang suspek na si Remegio Doble, kinakasama ni Alico. Sa report ng CALABARZON Police, nangyari ang krimen sa Brgy. San Piro, Balayan, Batangas bandang alas-4:30 ng madaling araw. Ayon sa imbestigas­yon, nagkaroon ng pag­tatalo sa pagitan nina Doble at Alico dahil nagseselos umano ang una sa hinihinalang karelasyon ng nasabing ginang na si Garilao. Sa gitna ng mainitang pagtatalo, pinagsasaksak ni Doble ang ginang na duguang humandusay saka nito pinuntahan sa compound ni Mr. Marcial Bulirao si Garilao na noo’y kasalukuyang naglilinis sa garahe at inundayan ng sunud-sunod na saksak. Ang mga biktima ay mabilis na isinugod sa Don Manuel Lopez Memorial Hospital pero kapwa idineklarang dead on arrival sanhi ng mga tinamong tama ng saksak sa katawan.",,"September 4, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/probinsiya/2022/09/04/2207248/ginang-lover-kinatay-ng-live-partner
"Calaca, idineklara nang lungsod sa Batangas","Nagbunyi ang mga taga-Calaca matapos na pormal na maideklara na ika-limang siyudad ang kanilang bayan nang ma­nalo ang “Yes” vote sa katatapos na plebisito sa lalawigang ito kamakalawa. Lumabas sa opisyal na resulta ng Commission on Elections (Comelec) na 29,424 residente ang bumoto ng “Oo” habang 3,781 ang bumoto sa “Hindi” mula sa katanungang -- “Pumapayag ka ba na ang munisipa­lidad ng Calaca ay ga­wing isang lungsod ng probinsya ng Batangas na kikilalanin bilang lungsod ng Calaca alinsunod sa Batas Republika bilang 11544 na kilala rin bilang charter of the city of Calaca. Nabatid na mahigit 50 porsyento ng populas­yon ng mga botante ng Calaca ang lumabas upang bumoto sa 37 na itinalagang polling cen­ters nitong Sabado sa kabila ng banta ng ma­lakas na pag-ulan dala ng Habagat at sa paghagupit ng bagyong Henry. Dahil dito, ang Calaca ang naging kauna-una­hang lungsod sa unang distrito ng Batangas at panglima sa buong lalawigan kasunod ng Lipa, Batangas, Tanauan at Sto. Thomas. Naging saksi sa prok­lamasyon sina Comelec Chairman George Erwin Garcia, Commissioner Aimee Ferolino, Mayor Nas Ona, First District Rep. Eric Buhain, ang kanyang maybahay na si dating Rep. Eileen Ermita-Buhain at iba pang lokal na opisyal. Sinabi ni Calaca Police officer-in-charge P/Lt. Col. Willy Salazar sa isang press statement na naging matagumpay ang isinagawang plebisito da­hil ginawa ito sa isang mapayapa at maayos na paraan. Noong May 26, 2021, nilagdaan ang noon ay Pangulong Rodrigo Du­terte ang Republic Act 11544 for sa conversion ng Calaca patungo sa isang component city. Ang Calaca na mata­tagpuan may 116 km mula sa Maynila, ay dating­ baryo at bahagi ng Balayan bago ito opisyal na ginawang bayan noong May 10, 1835. Ayon sa census noong 2020, ang Calaca ay may populasyon na 87,361 ka­tao, at may sukat na 114.58 km kuwadrado. Sinabi ni Mayor Ona na mas mabilis na nga­yong mararamdaman ang pag-unlad ng Calaca dahil isa na itong ganap na lungsod.",,"September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/probinsiya/2022/09/05/2207420/calaca-idineklara-nang-lungsod-sa-batangas
"Ama naburyong, buong pamilya hinostage","Isang tama ng bala sa dibdib ang tinamo ng isang padre-de-pamilya mula sa mga rumespondeng pulis ma­tapos nitong i-hostage ang kanyang buong pa­milya nang maburyong kahapon ng madaling araw sa Brgy. Anabu 2-D, Imus City. Kasalukuyan nga­yong­­ inoobserbahan sa pa­ga­­­mutan ang suspek na nakilalang si Cornelio­ Andrada Bautista, 52- anyos ng nasabing lugar dahil hiniling nito ang insidente. Ligtas naman at wa­lang nasugatan sa limang miyembro ng pa­milya na hinostage ng suspek na nakilalang sina Jonlyn Solo Bautista, misis ng suspek, 40-anyos; Linalyn S. Bautista, 17-anyos, Lynielle S. Bautista, 16-an­yos, Lionell John S. Bautista, 14-anyos at Lord Chekerson S. Bautista, 11-anyos, mga anak ng suspek. Sa imbestigasyon, alas-12:50 ng madaling araw ng maganap ang pangho-hostage ng suspek sa kaniyang asawa at mga anak sa loob mismo ng kanilang tahanan sa Brgy. Anabu 2-D, Imus City, Cavite. Armado ng baril, nagwala ang suspek hanggang sa tinutukan nito ang kaniyang pamilya. Agad na rumesponde ang SWAT team at Imus Police at sinimulan ang negosasyon sa suspek. Nang makita ng suspek ang kapulisan na nakapalibot sa kanilang bahay, lalo itong nagwala at itinutok ang kaniyang baril sa kapulisan at akmang ipuputok ito. Dito na  binaril ng isa sa kapulisan ang suspek na tinamaan sa itaas na bahagi ng dibdib nito. Duguang bumagsak ang suspek na agad na­­mang naitakbo sa pa­ga­mutan. Sa pagsisiyasat­ ng pulisya, matinding selos ang nagtulak sa suspek na gawin ang panghohostage. Wala namang nasaktan sa mga miyembro ng pamilya nito.","Isang tama ng bala sa dibdib ang tinamo ng isang padre-de-pamilya mula sa mga rumespondeng pulis ma­tapos nitong i-hostage ang kanyang buong pa­milya nang maburyong kahapon ng madaling araw sa Brgy. Anabu 2-D, Imus City.","September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/probinsiya/2022/09/05/2207414/ama-naburyong-buong-pamilya-hinostage
3 motibo sinisilip sa pagpatay sa abogada at anak sa Cebu,"Tinututukan ngayon ng Mandaue City Police ang tatlong anggulo na posibleng motibo sa pamamaril sa isang abogada at anak nito noong Huwebes ng gabi sa nabanggit na lungsod. Nasa ligtas nang kalagayan ang mag-inang Atty. Karen Quinanola- Gonzalez at anak na si Jeremy Keith, 19, matapos na tambangan habang  sakay ng kotse ng mga hindi pa naki­kilalang suspek dakong 8:35 ng gabi sa Hernan Cortes Avenue, Brgy. Ba­nilad Mandaue City. Naniniwala naman si P/Lt. Col. Frank Oriol, Deputy Director for Ope­rations Mandaue City Police Office, na may kinalaman sa trabaho ng biktima ang motibo sa pananambang. Si Quinanola-Gonzales bukod sa pagiging abogada, ay manager siya ng Business Marketing and Develop­ment Department sa Cebu Port Au­thority at nagsusulat din sa isang local daily newspaper sa Cebu. “One is her work handling cases, second as an employee of the Cebu Ports Authority and third, maybe personal grudge,” ani Oriol. Tiniyak ni Oriol na tuluy-tuloy ang kanilang follow-up investigation upang matukoy ang suspek at motibo sa krimen. Samantala, nag-alok ang Integra­ted Bar of the Philippines-Cebu Chapter ng P50,000 reward sa sinumang makapagturo sa pagkakakilanlan ng suspek. “We should not allow shooting incidents to be a common fare in the news. The usual statement denoun­cing or condemning an attack done to any person, after the initial dismay of learning of the senseless harm done, will not cut it,” pahayag pa ng IBPCC.",Tinututukan ngayon ng Mandaue City Police ang tatlong anggulo na posibleng motibo sa pamamaril sa isang abogada at anak nito noong Huwebes ng gabi sa nabanggit na lungsod.,"September 5, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/probinsiya/2022/09/05/2207413/3-motibo-sinisilip-sa-pagpatay-sa-abogada-anak-sa-cebu
